#,NAME,CHANNEL_ID,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,La Granja de Zenón,"UCwpcLKMwiuPg4aqImpGk6Ew',",32.3M,-,Argentina,,9700000
2,TheDonato,"UCaHEdZtk6k7SVP-umnzifmQ',",26.8M,-,Argentina,,8000000
3,DrossRotzank,"UCNYW2vfGrUE6R5mIJYzkRyQ',",22.5M,0.50%,Argentina,,6800000
4,Paulo Londra,"UCzI7wZyqk7jpXWT_MILjepw',",22M,-,Argentina,,6600000
5,Disney Latinoamérica,"UCq3zaHCaZtb3TtNwwz0PK2w',",20.4M,-,Argentina,,6100000
6,RobleisIUTU,"UCG8eSYvOQUpb9HM8zU5d6xg',",17.5M,-,Argentina,,5300000
7,Alejo Igoa,"UCZs0WwC0Dn_noiQE2BHSTKg',",17.2M,0.50%,Argentina,,5200000
8,El Reino a Jugar,"UCsm77kEHBDEPgD4Ir3jSRYg',",16.2M,-,Argentina,,4900000
9,Bizarrap,"UCmS75G-98QihSusY7NfCZtw',",16M,27.30%,Argentina,,4800000
10,Plim Plim - Kids Songs & Episodes - Spanish,"UCYQo8CdhXD22qfwUBUw591Q',",15.9M,-,Argentina,,4800000
11,Lyna,"UC-cnbLlplnXA4oc7rR21qzg',",13.5M,0.20%,Argentina,,4100000
12,Yao Cabrera,"UCu4mAgni85Q6uIGIAJ1-Feg',",8.9M,-,Argentina,,2700000
13,TINI,"UCJusEPcWIH9EyYSCqGP-1ew',",7.6M,4%,Argentina,,2300000
14,Te lo resumo,"UCw7Bz6EHxlnOoBUBlJZCWCw',",6.8M,1.50%,Argentina,Video Gaming,2100000
15,YAO,"UCaUKfGWDNnZ5wWCogMshVrQ',",6.7M,-,Argentina,,2000000
16,MUEVA Records,"UC9YImk7k5T4_LNMnOjiXNzw',",5.8M,0.50%,Argentina,,1700000
17,El Reino Series,"UC4shzxpZgQeg_8-l-PJetJQ',",5.7M,-,Argentina,,1700000
18,Discovery Kids,"UC9PIfDp0yx6QRTMVMltMZyA',",5.6M,-,Argentina,,1700000
19,Trueno Oficial,"UCR8xLrhLmZoMirYnjj4zEWg',",5.6M,2.40%,Argentina,,1700000
20,Canciones Infantiles - LooLoo,"UC5WwPdvAHvdS1ZK_v6AE90A',",5.5M,-,Argentina,,1600000
21,VIRAL,"UCMx33fISkv8CqxfMIFuj9OA',",5.4M,-,Argentina,,1600000
22,Incognita,"UCef_WCjyolnGwRZEReZv7Rw',",5.4M,-,Argentina,,1600000
23,LIT killah,"UCExVswmCLmkkoBkjBp3Ta9Q',",5.4M,4.10%,Argentina,,1600000
24,Dread Mar I - Oficial,"UCXc3ye1CUoy2roNeZZB_rNA',",5.2M,-,Argentina,,1600000
25,Lucas Castel :D,"UCR_Te2bbmsrqvYlAmkgA2sA',",5.1M,-,Argentina,,1500000
26,Spreen,"UCgTOIiEgjm58xLjHvDjmgdA',",5.1M,1.80%,Argentina,,1500000
27,Lyna Vlogs,"UCRtkuS3Wz0hYgfJjpvEEP4Q',",5M,-,Argentina,,1500000
28,Discovery Home & Health,"UC8El-KamqNxKQg-r15BmIxw',",5M,-,Argentina,,1500000
29,Ian Lucas,"UCmzDf_a7CCFuxos7hspcWRQ',",5M,-,Argentina,,1500000
30,kevsho,"UC3u9cz8QzN-Qft0TRxVGfkQ',",4.8M,-,Argentina,,1400000
31,KHEA,"UCLbGdCqw-hfCrWlqRwOM2-Q',",4.8M,4.10%,Argentina,,1400000
