NAME,,subscribers,VIEWS,VIDEOS
La Granja de Zenón,,39600000,30876542989,725
TheDonato,,40900000,7502423873,3476
DrossRotzank,,23300000,6325997349,1690
Paulo Londra,,22600000,8638830769,58
Disney Latinoamérica,,23800000,22086248414,8274
RobleisIUTU,,18400000,5526142973,1594
Alejo Igoa,,38200000,16388745415,1065
El Reino a Jugar,,18500000,12131094415,864
Bizarrap,,22100000,9146224994,86
El Payaso Plim Plim,,21500000,22962716682,1609
Lyna,,18100000,7255733092,5245
TINI,,8910000,5318739766,240
Te lo resumo,,7400000,2138369681,644
Yao Cabrera,,6590000,271162602,117
MUEVA Records,,5890000,2854220468,54
El Reino Series,,6830000,2246731082,539
Discovery Kids,,6490000,3270620660,2841
Trueno,,6410000,1979238913,118
Canciones Infantiles - LooLoo,,9340000,5908894514,695
VIRAL,,5380000,1250635958,590
Incognita,,5440000,700780937,1399
LIT killah,,6210000,2077744778,79
Dread Mar I - Oficial,,5670000,4357322279,127
Lucas Castel :D,,5640000,846015156,1175
Spreen,,7360000,1679645995,594
Lyna Vlogs,,7110000,971076395,284
Discovery Home & Health,,5450000,2897647004,5341
Ian Lucas,,31300000,3357823629,461
kevsho,,4720000,340769347,162
KHEA,,5150000,1922308134,107
ThiagoIUTU,,4840000,413301737,79
Coscu,,4760000,1388759636,3038
PedritoVM,,4430000,769981624,481
WOS DS3,,4820000,1271456833,73
Mati Spano,,12500000,6472860805,1525
Pato Horneado,,11300000,1755773845,605
Oracion Poderosa,,4490000,748876121,1402
Bebe Milo YT,,3930000,1761200787,2197
NewTrollWsp,,4240000,486144075,945
Angie Velasco,,5680000,816588722,298
Tiago PZK,,4570000,2310784510,63
Vida Salud y Bienestar,,3850000,90581237,914
Maria Becerra,,5200000,3675204920,220
Emir Abdul Gani,,9360000,3018940501,639
Paulina Cocina,,4130000,494798738,1145
Julian Abdala,,4800000,775404326,1098
Tutoriales Belen,,3320000,381075919,355
Mica Suarez,,3290000,300195451,181
RobleisJAJA,,3330000,245030303,202
SpreenDMC,,3790000,664986187,486
Lionel Ferro,,3370000,324976090,395
Carreraaa,,4090000,709706057,403
PassThor,,4240000,989325360,831
PopArt Discos,,3180000,5270866947,3239
Gonzaa Fonseca,,2820000,216942936,166
DeiGamer,,2780000,955322781,3896
Televisión Pública,,3690000,1622016439,137003
Romi,,2760000,379514764,1176
benja calero,,16000000,5281889396,1545
Lyna Vallejos,,2710000,179056046,145
JugandoConNatalia,,2520000,488070322,2316
Farfadox,,2910000,505149146,352
Rosina valiente,,2440000,77909,89
Todo Noticias,,4220000,1753831074,49328
JAVI 🎵,,2410000,10460527,17
MYA,,2540000,1109736099,66
NICO VILLA,,2460000,427760274,709
Malena Igoa,,3450000,192290193,27
TOPS DE ANIMES CADA 3 DIAS,,2820000,225471502,186
Locos X el Asado,,2550000,403414464,834
Melina,,2650000,440361109,1508
Soda Stereo,,2510000,3216418537,57
Me Llamo Dani,,2210000,371870100,1207
ori de mier,,2100000,122583936,153
LuzGamingxd,,2200000,86118282,320
Mariano Bondar,,2150000,256063017,682
efecto3d,,2290000,1112455494,140
CasimochoTV,,5730000,1855470356,3658
Los Displicentes,,2300000,838467779,1255
Mundo Kuku,,2390000,150259648,357
BRUTA COCINA,,3020000,863922626,587
Fer Palacio,,2290000,1101800791,381
Rusher King,,2330000,1239647774,59
A bailar con Maga,,3920000,1234041763,1456
Candela Diaz,,1910000,17173628,9
Hecatombe Producciones,,2270000,657418159,609
Luciano Pereyra,,2170000,2391031273,120
Gaspi,,2010000,42619904,6
Seguime Ahora,,3200000,2409417712,2678
Cosas del Jardin,,2830000,306470183,623
ZEPfilms,,2000000,390166378,1060
La Beriso TV,,1980000,1875805712,992
Emiliano Ferrari Villalobo,,1840000,841553040,387
Zach Morris,,2230000,605535027,970
Lorem,,1740000,42369659,18
REXUFO,,2210000,198376889,313
Marinosaurio,,3010000,1481897662,364
dinosaur vlogs,,2180000,524277556,995
